DA,curr_acc,tot_acc,score,Marginalization Group
14068333,134985,395560,0.75,4
13463095,38255,168960,0.4375,1
20034399,95,168390,0.375,1
14016656,115,236855,0.375,1
13464190,467145,684380,0.5625,2
20053518,459845,681520,0.625,3
14023964,458610,682590,0.6875,3
13463840,467930,682785,0.5,2
14045353,459600,678755,0.625,3
13462680,469285,690065,0.5,2
14066450,446840,667530,0.375,1
13465170,1705,106095,0.4375,1
13448571,6155,138565,0.5625,2
13454300,6545,130130,0.9375,5
13454223,6490,125380,0.8125,5
13458939,30305,196420,0.6875,3
13459105,30810,205940,0.625,3
30110123,26680,200605,0.6875,3
14017319,215200,586615,0.5625,2
14041786,215795,600255,0.4375,1
30011648,88820,310295,0.75,4
13459095,99910,327545,0.8125,5
20161259,83240,302210,0.75,4
30011643,95315,316470,1.0,5
13459286,74090,299255,1.0,5
13459332,75490,297135,0.8125,5
13459499,60740,270895,0.6875,3
14198790,19060,140065,0.875,5
13461880,22410,132385,0.625,3
13455344,10700,230920,0.4375,1
13456236,136965,299575,0.25,1
13456403,143340,363105,0.375,1
13456093,191070,366215,0.375,1
13455768,190745,360260,0.1875,1
30104877,190255,404030,0.5,2
13459904,56055,208270,0.625,3
30096269,118000,444325,0.5,2
13459293,141945,456390,0.3125,1
13458688,110470,439335,0.375,1
13458571,106090,438445,0.8125,5
14066916,87715,439015,0.4375,1
13457758,129325,366965,0.4375,1
13457855,161305,444935,0.6875,3
30109208,82865,408455,0.75,4
30109205,83120,411440,0.75,4
30069954,185200,419190,0.625,3
13457301,191145,409250,0.625,3
13456732,140980,287475,0.5625,2
13456352,140870,299840,0.1875,1
14630495,275,24140,0.4375,1
14642969,215,30590,0.4375,1
30062583,170,33050,0.5,2
14249067,330,38630,0.5,2
13456913,66535,192070,0.6875,3
13457100,77390,256745,0.625,3
13456841,73235,226260,0.6875,3
13456655,85820,239145,0.3125,1
13456974,71890,262700,0.3125,1
13457093,128490,309375,0.4375,1
13457257,153335,351800,0.5,2
13458077,112185,345645,0.1875,1
13458166,69640,302110,0.4375,1
13457998,75245,293380,0.6875,3
14049208,88185,276095,0.3125,1
13460842,74405,270300,0.4375,1
13460898,59650,187235,0.4375,1
13460693,67475,204465,0.3125,1
13460329,67005,205010,0.6875,3
14016197,49940,170705,0.375,1
13455471,190975,362905,0.5,2
13455229,13305,353805,0.8125,5
30110516,10170,305270,0.625,3
13455217,171550,307310,0.25,1
13454552,10305,266535,0.125,1
13454166,10380,266915,0.3125,1
13454397,10245,295175,0.5,2
13454529,10310,298665,0.5,2
13454355,13235,291710,0.25,1
13467206,82040,184435,0.5,2
13460682,36470,90180,0.4375,1
30105955,32145,86035,0.5,2
14016096,38420,95805,0.375,1
13461001,38760,95805,0.3125,1
14050707,38895,95210,0.375,1
13461120,39935,98670,0.3125,1
14016153,39535,95700,0.375,1
14232816,39585,99635,0.25,1
13456629,72670,293705,0.625,3
13456571,73040,278600,0.25,1
13456284,71800,268365,0.3125,1
14043358,82735,578900,0.4375,1
30102037,82660,592615,0.375,1
30056943,13190,305980,0.4375,1
13454580,13315,272585,0.25,1
13454237,13335,280270,0.1875,1
30099403,13285,240535,0.1875,1
13453856,13385,266585,0.1875,1
13453412,13300,246050,0.25,1
13453237,13120,246970,0.25,1
14036765,9820,256275,0.375,1
13452824,10090,232130,0.5625,2
13452310,10210,214905,0.5625,2
13452684,10380,219125,0.3125,1
13452998,10310,216920,0.1875,1
13455383,119410,257800,0.25,1
13455604,120160,259630,0.1875,1
13455519,114930,258190,0.1875,1
13464577,2335,84575,0.4375,1
30104451,45460,151500,0.75,4
30104420,45300,152690,0.6875,3
13459804,52280,159595,0.25,1
13459698,51380,159410,0.4375,1
13459778,47790,163615,0.375,1
13459837,56475,188780,0.4375,1
13459508,56965,191030,0.5625,2
13459695,56525,198200,0.4375,1
13460228,71510,223915,0.625,3
13459842,74895,247640,0.4375,1
13459665,60995,203220,0.375,1
13460417,66730,296760,0.6875,3
20061309,110940,301055,0.625,3
20061699,159360,324010,0.6875,3
13460902,40005,99525,0.4375,1
14016320,38820,106280,0.8125,5
13461336,41145,104525,0.8125,5
